"Reference","Value","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","PRIX","STANDARD","Qté"
"D1","LED_RKGB","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","0.2","","1"
"H1-H4","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","","","","","","0","","4"
"J1","Alim 8V","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","0.1","","1"
"J2","Connecteur afficheur","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","0.1","","1"
"J3","Connecteur I2C","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","0.1","","1"
"J4","Connecteur Touch","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","0.1","","1"
"J5","Connecteur DAC","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","0.1","","1"
"R1, R2","47000R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","0.2","","2"
"R3-R5","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","0.2","","3"
"R6","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","0.2","","1"
"R7","330k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","0.2","","1"
"S1","M-A","mes_symbols:SS12D00G3","http://vimex.com/switches/techdocs/SS12D00-tech.pdf","","","3 Pin Toggle Switch","7","","","Vimex","SS12D00G3","","","","0.1","","1"
"U1","ESP32-DEVKIT-V1","mes_symbols:MODULE_ESP32_DEVKIT_V1","","","","","","DOIT","6.8 mm","","","","","N/A","3,5","Manufacturer Recommendations","1"
"U2","SCD30","mes_symbols:MODULE_SCD30","","","","","","Sensirion","7.0mm","","","","","D1","20","Manufacturer Recommendations","1"
